Type,CSV_Value,DB_Match,Status,Notes
CLASS,GRIT - CARDIO™,GRIT - CARDIO™,FOUND,Exact match
CLASS,BODYPUMP™,BODYPUMP™,FOUND,Exact match
CLASS,BODYBALANCE™,BODYBALANCE™,FOUND,Exact match
CLASS,STEP-CARDIO,STEP-CARDIO,FOUND,Exact match
CLASS,GROUP CYCLE,GROUP CYCLE,FOUND,Exact match
CLASS,BODYCOMBAT™,BODYCOMBAT™,FOUND,Exact match
CLASS,ZUMBA®,ZUMBA®,FOUND,Exact match
CLASS,ACTIVE YOGA,ACTIVE YOGA,FOUND,Exact match
CLASS,TAI CHI,TAI CHI,FOUND,Exact match
CLASS,UPBEAT BARRE™,UPBEAT BARRE™,FOUND,Exact match
CLASS,POWER YOGA,POWER YOGA,FOUND,Exact match
CLASS,LES MILLS RPM™,Les Mills RPM™,FOUND,Normalization handles casing
CLASS,LES MILLS CORE™,Les Mills CORE™,FOUND,Normalization handles casing
CLASS,GRIT - STRENGTH™,GRIT - STRENGTH™,FOUND,Exact match
CLASS,UPBEAT PILATES™,UPBEAT PILATES™,FOUND,Exact match
CLASS,TOTAL BODY STRONG,TOTAL BODY STRONG,FOUND,Exact match
CLASS,CARDIO DANCE,CARDIO DANCE,FOUND,Exact match
CLASS,AQUA FIT,AQUAFIT,FOUND,Normalization handles spacing
CLASS,AQUA IN MOTION,AQUA IN MOTION,FOUND,Exact match
CLASS,SILVERSNEAKERS YOGA,SILVERSNEAKERS YOGA,FOUND,Exact match
CLASS,SILVERSNEAKERS® CIRCUIT,SILVERSNEAKERS ® CIRCUIT,FOUND,Normalization handles
CLASS,GENTLE YOGA,GENTLE YOGA,FOUND,Exact match
CLASS,PILATES,PILATES,FOUND,Exact match
CLASS,GRIT-CARDIO™,GRIT - CARDIO™,FOUND,Normalization handles spacing
CLASS,GRIT - ATHLETIC™,GRIT - ATHLETIC™,FOUND,Exact match
CLASS,HIGH FITNESS®,HIGH FITNESS®,FOUND,Exact match
CLASS,TRX BODY BLAST®,TRX BODY BLAST®,FOUND,Exact match
CLASS,STEP-INTERVAL,STEP-INTERVAL,FOUND,Exact match
CLASS,FEELING FIT,FEELING FIT,FOUND,Exact match
CLASS,WERQ™,WERQ™,FOUND,Exact match
CLASS,SILVER CYCLE,SILVER CYCLE,FOUND,Exact match
CLASS,BARRE,BARRE,FOUND,Exact match
CLASS,RIDE STRONG,,MISSING,Must add to classes table
CLASS,ZUMBA GOLD,ZUMBA GOLD,FOUND,Exact match
