Type,CSV_Value,DB_Match,Status,Notes,Found_In_Months
CLASS,RIDE STRONG,,MISSING,Must add to classes table,"Jan,Feb,Mar,Apr,May,Jun"
CLASS,BOOTCAMP,,MISSING,Must add to classes table,Jul
INSTRUCTOR,BINH,,MISSING,Must add to instructors table,"Jan,Feb,Mar,Apr,May,Jun"
INSTRUCTOR,LAUREN,,MISSING,Must add to instructors table,"Jan,Feb,Mar,Apr,May,Jun"
INSTRUCTOR,MARI,,MISSING,Must add to instructors table,"Jan,Feb,Mar,Apr,May,Jun,Jul"
INSTRUCTOR,MARIBEL,,MISSING,Must add to instructors table,"Jan,Feb,Mar,Apr,May,Jun"
INSTRUCTOR,SUZANNE,,MISSING,Must add to instructors table,"Jan,Feb,Mar,Apr,May"
INSTRUCTOR,TAYLOR,,MISSING,Must add to instructors table,"Jan,Feb,Mar,Apr,May"
INSTRUCTOR,BRIT C,,MISSING,Must add to instructors table,"Mar,Apr,May,Jun"
INSTRUCTOR,PIERCE,,MISSING,Must add to instructors table,"Jun,Jul"
INSTRUCTOR,DEB F,,MISSING,Must add to instructors table,Jun
INSTRUCTOR,JOEL S,,MISSING,Must add to instructors table,"Jun,Jul"
INSTRUCTOR,ANTHONY,,MISSING,Must add to instructors table,Jul
INSTRUCTOR,SAM,SAM R,VERIFY,CSV has SAM - is this SAM R in DB?,"Jan,Feb,Mar,Apr,May,Jun,Jul"
INSTRUCTOR,JESS,JESS G,VERIFY,CSV has JESS - is this JESS G in DB?,"Jan,Feb,Mar,Apr,May,Jun"
INSTRUCTOR,KELLY,KELLY M or KELLY N,VERIFY,CSV has KELLY - which one? (both exist in DB),"Jan,Feb,Mar,Apr,May,Jun,Jul"
INSTRUCTOR,JADA,JADA B,VERIFY,CSV has JADA - is this JADA B in DB?,Jul
INSTRUCTOR,KRIST,KRISTA,VERIFY,Likely typo for KRISTA - verify,Jul
