Type,Value,MAPSTO
CLASS,ACTIVE YOFA,ACTIVE YOGA
CLASS,ACTIVE YOGA,ACTIVE YOGA
CLASS,AQUA CIRCUIT,AQUA CIRCUIT
CLASS,AQUA IN MOTION,AQUA IN MOTION
CLASS,AQUA ZUMBA®,AQUA ZUMBA®
CLASS,AQUAFIT,AQUAFIT
CLASS,BARRE,BARRE
CLASS,BODY BALANACE,BODYBALANCE™
CLASS,BODYBALANCE,BODYBALANCE™
CLASS,BODYBALANCE™,BODYBALANCE™
CLASS,BODYCOMBAT™,BODYCOMBAT™
CLASS,BODYPUMP™,BODYPUMP™
CLASS,BOOTCAMP,BOOTCAMP
CLASS,BOYBALANCE™,BODYBALANCE™
CLASS,CARDIO DANCE,CARDIO DANCE
CLASS,FEELING FIT,FEELING FIT
CLASS,GENTLE YOGA,GENTLE YOGA
CLASS,GRIT - ATHLETIC™,GRIT - ATHLETIC™
CLASS,GRIT - CARDIO™,GRIT - CARDIO™
CLASS,GRIT - STRENGTH™,GRIT - STRENGTH™
CLASS,GRIT-CARDIO™,GRIT - CARDIO™
CLASS,GROUP CYCLE,GROUP CYCLE
CLASS,HIGH FITNESS®,HIGH FITNESS®
CLASS,LES MILLS CORE™,LES MILLS CORE™
CLASS,PILATES,PILATES
CLASS,POWER YOGA,POWER YOGA
CLASS,RIDE STRONG,RIDE STRONG
CLASS,SILVER CYCLE,SILVER CYCLE
CLASS,SILVERSNEAKERS  CIRCUIT,SILVERSNEAKERS® CIRCUIT
CLASS,SILVERSNEAKERS ® CIRCUIT,SILVERSNEAKERS® CIRCUIT
CLASS,SILVERSNEAKERS ® CLASSIC,SILVERSNEAKERS® CLASSIC
CLASS,SILVERSNEAKERS CLASSIS,SILVERSNEAKERS® CLASSIC
CLASS,SILVERSNEAKERS YOGA,SILVERSNEAKERS® YOGA
CLASS,STEP-CARDIO,STEP-CARDIO
CLASS,STEP-INTERVAL,STEP-INTERVAL
CLASS,TAI CHI,TAI CHI
CLASS,TOTAL BODY STRONG,TOTAL BODY STRONG
CLASS,TRX BODY BLAST®,TRX BODY BLAST®
CLASS,UPBEAT BARRE,UPBEAT BARRE™
CLASS,UPBEAT BARRE™,UPBEAT BARRE™
CLASS,UPBEAT LIFT™,UPBEAT LIFT™
CLASS,UPBEAT PILATES,UPBEAT PILATES™
CLASS,UPBEAT PILATES™,UPBEAT PILATES™
CLASS,WERQ™,WERQ™
