Day,Start Time,End Time,Class Name,Location,Instructors,Date 1,Attendance 1,Date 2,Attendance 2,Date 3,Attendance 3,Date 4,Attendance 4,Date 5,Attendance 5
SATURDAY,7:15 am,7:45 am,GRIT - CARDIO™,SPC,MIKEY,8/3,10,8/10,7,8/17,13,8/24,10,,
SUNDAY,8:15 am,9:00 am,UPBEAT BARRE™,MB,GIL,8/4,12,8/11,15,8/18,14,8/25,18,,
MONDAY,5:30 am,6:00 am,GRIT - STRENGTH™,SPC,DANIELLE B,8/5,15,8/12,17,8/19,15,8/26,15,,
TUESDAY,5:15 am,6:15 am,BODYPUMP™,S,MELANIE,8/6,20,8/13,19,8/20,20,8/27,20,,
WEDNESDAY,5:30 am,6:00 am,GRIT - ATHLETIC™,SPC,MIKEY,8/7,14,8/14,11,8/21,7,8/28,13,,
THURSDAY,5:15 am,6:15 am,BODYPUMP™,S,MELANIE,8/8,18,8/15,19,8/22,13,8/29,17,,
FRIDAY,5:30 am,6:00 am,GRIT - CARDIO™,SPC,DANIELLE B,8/9,6,8/16,14,8/23,12,8/30,9,,
SATURDAY,7:30 am,8:30 am,ACTIVE YOGA,MB,LAUREN,8/3,5,8/10,4,8/17,5,8/24,2,,
SUNDAY,8:15 am,9:15 am,GROUP CYCLE,C,ERIN,8/4,23,8/11,24,8/18,30,8/25,22,,
MONDAY,7:15 am,7:45 am,GRIT - STRENGTH™,SPC,MELANIE,8/5,5,8/12,4,8/19,8,8/26,7,,
TUESDAY,5:30 am,6:00 am,GRIT - CARDIO™,SPC,MIKEY,8/6,7,8/13,7,8/20,7,8/27,7,,
WEDNESDAY,5:45 am,6:45 am,ACTIVE YOGA,MB,JOAN,8/7,16,8/14,12,8/21,10,8/28,10,,
THURSDAY,5:30 am,6:00 am,GRIT - CARDIO™,SPC,MIKEY,8/8,8,8/15,9,8/22,9,8/29,5,,
FRIDAY,5:45 am,6:45 am,ACTIVE YOGA,MB,JOAN,8/9,7,8/16,8,8/23,9,8/30,9,,
SATURDAY,8:00 am,9:00 am,BODYPUMP™,S,JENN W,8/3,25,8/10,24,8/17,29,8/24,28,,
SUNDAY,8:15 am,9:15 am,BODYCOMBAT™,S,VANESSA|STEVE,8/4,8,8/11,3,8/18,5,8/25,8,,
MONDAY,8:15 am,9:00 am,TOTAL BODY STRONG,S,CAROL,8/5,20,8/12,36,8/19,39,8/26,35,,
TUESDAY,5:45 am,6:45 am,GROUP CYCLE,C,KARIN,8/6,13,8/13,12,8/20,6,8/27,7,,
WEDNESDAY,8:00 am,8:45 am,HIGH FITNESS®,MB,GIL G,8/7,10,8/14,12,8/21,10,8/28,11,,
THURSDAY,8:30 am,9:00 am,UPBEAT BARRE™,MB,ANNA B,8/8,24,8/15,23,8/22,18,8/29,16,,
FRIDAY,6:00 am,7:00 am,GROUP CYCLE,C,JACKIE P,8/9,7,8/16,16,8/23,5,8/30,15,,
SATURDAY,8:45 am,9:45 am,BODYBALANCE™,MB,BRENDA,8/3,33,8/10,31,8/17,30,8/24,24,,
SUNDAY,9:15 am,10:15 am,POWER YOGA,MB,EVA,8/4,26,8/11,26,8/18,23,8/25,21,,
MONDAY,9:00 am,10:00 am,ACTIVE YOGA,MB,SUSAN,8/5,17,8/12,18,8/19,17,8/26,18,,
TUESDAY,8:35 am,9:20 am,AQUAFIT,EP,CHAR,8/6,25,8/13,25,8/20,25,8/27,27,,
WEDNESDAY,8:15 am,9:00 am,TRX BODY BLAST®,S,CAROL,8/7,12,8/14,12,8/21,15,8/28,8,,
THURSDAY,8:35 am,9:20 am,AQUAFIT,EP,CHAR,8/8,28,8/15,27,8/22,26,8/29,29,,
FRIDAY,8:15 am,8:45 am,LES MILLS CORE™,MB,KIM K,8/9,12,8/16,14,8/23,8,8/30,4,,
SATURDAY,9:15 am,10:00 am,STEP-CARDIO,S,FRIEDA,8/3,15,8/10,12,8/17,12,8/24,15,,
SUNDAY,9:30 am,10:30 am,BODYPUMP™,S,JENN W|ROBERT,8/4,34,8/11,26,8/18,33,8/25,34,,
MONDAY,9:15 am,10:00 am,CARDIO DANCE,S,CAROL,8/5,40,8/12,43,8/19,46,8/26,42,,
TUESDAY,9:00 am,9:45 am,BARRE,S,HEATHER C,8/6,39,8/13,24,8/20,23,8/27,27,,
WEDNESDAY,9:00 am,10:00 am,ACTIVE YOGA,MB,JOAN,8/7,19,8/14,20,8/21,18,8/28,14,,
THURSDAY,9:00 am,9:45 am,CARDIO DANCE,S,LISA B,8/8,13,8/15,14,8/22,15,8/29,15,,
FRIDAY,8:15 am,9:00 am,TOTAL BODY STRONG,S,CAROL,8/9,35,8/16,35,8/23,25,8/30,18,,
SATURDAY,9:00 am,10:00 am,GROUP CYCLE,C,MEGHAN,8/3,20,8/10,17,8/17,20,8/24,21,,
SUNDAY,10:30 am,11:30 am,ACTIVE YOGA,MB,EVA,8/4,29,8/11,23,8/18,28,8/25,37,,
MONDAY,9:15 am,10:15 am,GROUP CYCLE,C,LISA BA,8/5,42,8/12,45,8/19,37,8/26,29,,
TUESDAY,9:15 am,10:00 am,LES MILLS RPM™,C,ADRIANA,8/6,10,8/13,10,8/20,16,8/27,10,,
WEDNESDAY,9:15 am,10:00 am,STEP-INTERVAL,S,CAROL,8/7,14,8/14,18,8/21,15,8/28,10,,
THURSDAY,9:30 am,10:15 am,AQUAFIT,EP,SAM R,8/8,30,8/15,21,8/22,19,8/29,22,,
FRIDAY,9:00 am,10:00 am,GENTLE YOGA,MB,EVA,8/9,40,8/16,36,8/23,39,8/30,38,,
SATURDAY,10:00 am,11:00 am,BODYCOMBAT™,MB,DANIELLE,8/3,35,8/10,28,8/17,36,8/24,35,,
SUNDAY,10:30 am,11:15 am,LES MILLS RPM™,C,ROBERT|JAYME,8/4,10,8/11,12,8/18,8,8/25,5,,
MONDAY,9:30 am,10:15 am,AQUAFIT,EP,RON,8/5,50,8/12,50,8/19,60,8/26,55,,
TUESDAY,9:30 am,10:15 am,AQUA ZUMBA®,EP,SHALOM,8/6,20,8/13,25,8/20,25,8/27,20,,
WEDNESDAY,9:15 am,10:15 am,GROUP CYCLE,C,MINDY,8/7,20,8/14,19,8/21,15,8/28,24,,
