Day,Start Time,End Time,Class Name,Location,Instructors,Date 1,Attendance 1,Date 2,Attendance 2,Date 3,Attendance 3,Date 4,Attendance 4,Date 5,Attendance 5
SATURDAY,7:15 am,7:45 am,GRIT - CARDIO™,SPC,MIKEY,12/7,12,12/14,12,12/21,7,12/28,7,,
SUNDAY,8:15 am,9:15 am,GROUP CYCLE,C,ERIN,12/8,32,12/15,40,12/22,35,12/29,37,,
MONDAY,5:15 am,6:00 am,BODYCOMBAT™,S,KATHY F,12/9,12,12/16,10,12/23,7,,,,
TUESDAY,5:15 am,6:15 am,BODYPUMP™,S,MELANIE,12/3,23,12/10,23,12/17,22,12/31,25,,
WEDNESDAY,5:30 am,6:00 am,GRIT - ATHLETIC™,SPC,MIKEY,12/4,10,12/11,9,12/18,14,,,,
THURSDAY,5:15 am,6:15 am,BODYPUMP™,S,MELANIE,12/5,26,12/12,16,12/19,18,12/26,14,,
FRIDAY,5:30 am,6:00 am,GRIT - CARDIO™,SPC,DANIELLE B,12/6,10,12/13,15,12/20,15,12/27,14,,
SATURDAY,8:00 am,9:00 am,BODYPUMP™,S,JENN W,12/7,32,12/14,25,12/21,20,12/28,18,,
SUNDAY,8:30 am,9:15 am,UPBEAT BARRE™,S,GIL,12/8,16,12/15,21,12/22,25,12/29,22,,
MONDAY,5:30 am,6:00 am,GRIT - STRENGTH™,SPC,DANIELLE B,12/9,21,12/16,16,12/23,30,,,,
TUESDAY,5:30 am,6:00 am,GRIT - CARDIO™,SPC,MIKEY,12/3,6,12/10,8,12/17,9,12/31,8,,
WEDNESDAY,5:45 am,6:45 am,ACTIVE YOGA,MB,JOAN,12/4,14,12/11,13,12/18,13,,,,
THURSDAY,5:30 am,6:00 am,GRIT - CARDIO™,SPC,MIKEY,12/5,11,12/12,9,12/19,6,12/26,6,,
FRIDAY,5:45 am,6:45 am,ACTIVE YOGA,MB,JOAN,12/6,7,12/13,11,12/20,10,12/27,12,,
SATURDAY,8:45 am,9:45 am,BODYBALANCE™,MB,BRENDA,12/7,40,12/14,37,12/21,43,12/28,44,,
SUNDAY,9:15 am,10:15 am,POWER YOGA,MB,EVA,12/8,29,12/15,31,12/22,25,12/29,27,,
MONDAY,7:15 am,7:45 am,GRIT - STRENGTH™,SPC,MELANIE,12/9,7,12/16,4,12/23,3,,,,
TUESDAY,5:45 am,6:45 am,GROUP CYCLE,C,KARIN,12/3,5,12/10,6,12/17,11,12/31,6,,
WEDNESDAY,8:00 am,8:45 am,HIGH FITNESS®,MB,GIL G,12/4,15,12/11,18,12/18,16,,,,
THURSDAY,8:30 am,9:00 am,UPBEAT BARRE™,MB,ANNA B,12/5,34,12/12,28,12/19,22,12/26,18,,
FRIDAY,6:00 am,7:00 am,GROUP CYCLE,C,JACKIE P,12/6,13,12/13,12,12/20,10,12/27,9,,
SATURDAY,9:15 am,10:00 am,STEP-CARDIO,S,FRIEDA,12/7,20,12/14,18,12/21,17,12/28,20,,
SUNDAY,9:30 am,10:30 am,BODYPUMP™,S,JENN W|ROBERT,12/8,26,12/15,25,12/22,35,12/29,30,,
MONDAY,8:00 am,8:45 am,UPBEAT PILATES™,MB,GIL,12/9,13,12/16,12,12/23,20,,,,
TUESDAY,8:35 am,9:20 am,AQUAFIT,EP,CHAR,12/3,30,12/10,15,12/17,30,12/24,14,12/31,26
WEDNESDAY,8:15 am,9:00 am,TRX BODY BLAST®,S,CAROL,12/4,35,12/11,35,12/18,38,,,,
THURSDAY,8:35 am,9:20 am,AQUAFIT,EP,CHAR,12/5,30,12/12,30,12/19,30,12/26,18,,
FRIDAY,8:15 am,8:45 am,LES MILLS CORE™,MB,KIM K,12/6,6,12/13,5,12/20,3,12/27,6,,
SATURDAY,9:00 am,10:00 am,GROUP CYCLE,C,MEGHAN,12/7,38,12/14,35,12/21,35,12/28,38,,
SUNDAY,10:30 am,11:30 am,ACTIVE YOGA,MB,EVA,12/8,41,12/15,43,12/22,34,12/29,48,,
MONDAY,8:15 am,9:00 am,TOTAL BODY STRONG,S,CAROL,12/9,35,12/16,30,12/23,23,,,,
TUESDAY,9:00 am,9:45 am,UPBEAT BARRE™,S,SARA,12/3,25,12/10,26,12/17,37,12/24,35,12/31,39
WEDNESDAY,9:00 am,10:00 am,ACTIVE YOGA,MB,JOAN,12/4,19,12/11,13,12/18,20,,,,
THURSDAY,9:00 am,9:45 am,CARDIO DANCE,S,LISA B,12/5,20,12/12,17,12/19,20,12/26,17,,
FRIDAY,8:15 am,9:00 am,TOTAL BODY STRONG,S,CAROL,12/6,35,12/13,35,12/20,30,12/27,37,,
SATURDAY,10:00 am,11:00 am,BODYCOMBAT™,MB,DANIELLE,12/7,40,12/14,44,12/21,35,12/28,42,,
SUNDAY,10:30 am,11:15 am,LES MILLS RPM™,C,ROBERT|JAYME,12/8,26,12/15,25,12/22,35,12/29,30,,
MONDAY,9:00 am,10:00 am,ACTIVE YOGA,MB,SUSAN,12/9,22,12/16,23,12/23,20,12/30,30,,
TUESDAY,9:15 am,10:00 am,LES MILLS RPM™,C,ADRIANA,12/3,12,12/10,21,12/17,14,12/24,22,,
WEDNESDAY,9:15 am,10:00 am,STEP-INTERVAL,S,CAROL,12/4,15,12/11,15,12/18,15,,,,
THURSDAY,9:30 am,10:15 am,AQUAFIT,EP,SAM R,12/5,26,12/12,28,12/19,30,12/26,29,,
FRIDAY,9:00 am,10:00 am,GENTLE YOGA,MB,EVA,12/6,39,12/13,32,12/20,45,12/27,40,,
SATURDAY,10:15 am,11:15 am,ZUMBA®,S,NANETTE,12/7,22,12/14,20,12/21,21,12/28,25,,
SUNDAY,10:45 am,11:15 am,LES MILLS CORE™,S,JENN W,12/8,11,12/15,11,12/22,17,,,,
MONDAY,9:15 am,10:00 am,CARDIO DANCE,S,CAROL,12/9,56,12/16,64,12/23,45,12/30,57,,
