Day,Start Time,End Time,Class Name,Location,Instructors,Date 1,Attendance 1,Date 2,Attendance 2,Date 3,Attendance 3,Date 4,Attendance 4,Date 5,Attendance 5
SATURDAY,7:15 am,7:45 am,GRIT - CARDIO™,SPC,MIKEY,12/6,,12/13,,12/20,,12/27,,,
SUNDAY,8:15 am,9:15 am,GROUP CYCLE,C,ERIN,12/14,,12/21,,12/28,,,,,
MONDAY,5:15 am,6:00 am,BODYCOMBAT™,S,KATHY F,12/1,,12/8,,12/15,,12/22,,12/29,
TUESDAY,5:15 am,6:15 am,BODYPUMP™,S,MELANIE,12/2,,12/9,,12/16,,12/23,,12/30,
WEDNESDAY,5:30 am,6:00 am,GRIT - ATHLETIC™,SPC,MIKEY,12/3,,12/10,,12/17,,12/24,,12/31,
SATURDAY,8:00 am,9:00 am,BODYPUMP™,S,JENN W,12/6,,12/13,,12/20,,12/27,,,
SUNDAY,8:30 am,9:15 am,UPBEAT BARRE™,S,GIL,12/14,,12/21,,12/28,,,,,
MONDAY,5:30 am,6:00 am,GRIT - STRENGTH™,SPC,DANIELLE B,12/1,,12/8,,12/15,,12/22,,12/29,
TUESDAY,5:30 am,6:00 am,BOOTCAMP,SPC,MIKEY,12/2,,12/9,,12/16,,12/23,,12/30,
WEDNESDAY,5:45 am,6:45 am,ACTIVE YOGA,MB,JOAN,12/3,,12/10,,12/17,,12/24,,12/31,
SATURDAY,8:45 am,9:45 am,BODYBALANCE™,MB,BRENDA,12/6,,12/13,,12/20,,12/27,,,
SUNDAY,9:15 am,10:15 am,POWER YOGA,MB,EVA,12/14,,12/21,,12/28,,,,,
MONDAY,7:15 am,7:45 am,GRIT - STRENGTH™,SPC,MELANIE,12/1,,12/8,,12/15,,12/22,,12/29,
TUESDAY,5:45 am,6:45 am,GROUP CYCLE,C,KARIN,12/2,,12/9,,12/16,,12/23,,12/30,
WEDNESDAY,6:15 am,7:00 am,UPBEAT LIFT™,S,GIL G,12/3,,12/10,,12/17,,12/24,,12/31,
SATURDAY,9:00 am,10:00 am,GROUP CYCLE,C,MEGHAN,12/6,,12/13,,12/20,,12/27,,,
SUNDAY,9:30 am,10:30 am,BODYPUMP™,S,JENN W|ROBERT,12/14,,12/21,,12/28,,,,,
MONDAY,8:00 am,8:45 am,UPBEAT PILATES™,MB,JADA B,12/1,,12/8,,12/15,,12/22,,12/29,
TUESDAY,8:30 am,9:15 am,CARDIO DANCE,MB,SAM R,12/2,,12/9,,12/16,,12/23,,12/30,
WEDNESDAY,8:00 am,8:45 am,HIGH FITNESS®,MB,GIL G,12/3,,12/10,,12/17,,12/24,,12/31,
SATURDAY,9:15 am,10:00 am,STEP-CARDIO,S,FRIEDA,12/6,,12/13,,12/20,,12/27,,,
SUNDAY,10:30 am,11:30 am,ACTIVE YOGA,MB,EVA,12/14,,12/21,,12/28,,,,,
MONDAY,8:35 am,9:20 am,AQUA CIRCUIT,EP,RON,12/1,,12/8,,12/15,,12/22,,12/29,
TUESDAY,8:35 am,9:20 am,AQUAFIT,EP,CHAR,12/2,,12/9,,12/16,,12/23,,12/30,
WEDNESDAY,8:15 am,9:00 am,TRX BODY BLAST®,S,CAROL,12/3,,12/10,,12/17,,12/24,,12/31,
SATURDAY,10:00 am,11:00 am,BODYCOMBAT™,MB,DANIELLE,12/6,,12/13,,12/20,,12/27,,,
SUNDAY,10:30 am,11:15 am,LES MILLS RPM™,C,ROBERT|JAYME,12/14,,12/21,,12/28,,,,,
MONDAY,8:15 am,9:00 am,TOTAL BODY STRONG,S,CAROL,12/1,,12/8,,12/15,,12/22,,12/29,
TUESDAY,9:00 am,9:45 am,UPBEAT BARRE™,S,SARA,12/2,,12/9,,12/16,,12/23,,12/30,
WEDNESDAY,9:00 am,10:00 am,ACTIVE YOGA,MB,JOAN,12/3,,12/10,,12/17,,12/24,,12/31,
SATURDAY,10:15 am,11:15 am,ZUMBA®,S,NANETTE,12/6,,12/13,,12/20,,12/27,,,
SUNDAY,10:45 am,11:15 am,LES MILLS CORE™,S,JENN W,12/14,,12/21,,12/28,,,,,
MONDAY,9:00 am,10:00 am,ACTIVE YOGA,MB,SUSAN,12/1,,12/8,,12/15,,12/22,,12/29,
TUESDAY,9:15 am,10:00 am,LES MILLS RPM™,C,ADRIANA,12/2,,12/9,,12/16,,12/23,,12/30,
WEDNESDAY,9:15 am,10:00 am,STEP-INTERVAL,S,CAROL,12/3,,12/10,,12/17,,12/24,,12/31,
SATURDAY,11:15 am,12:15 pm,ACTIVE YOGA,MB,JULIE,12/6,,12/13,,12/20,,12/27,,,
SUNDAY,11:30 am,12:30 pm,ZUMBA®,S,MARI|SHELLEY,12/14,,12/21,,12/28,,,,,
MONDAY,9:15 am,10:00 am,CARDIO DANCE,S,CAROL,12/1,,12/8,,12/15,,12/22,,12/29,
TUESDAY,9:30 am,10:15 am,AQUA ZUMBA®,EP,ALISA,12/2,,12/9,,12/16,,12/23,,12/30,
WEDNESDAY,9:15 am,10:15 am,GROUP CYCLE,C,MINDY,12/3,,12/10,,12/17,,12/24,,12/31,
SATURDAY,11:30 am,12:30 pm,TAI CHI,S,KELLY N,12/6,,12/13,,12/20,,12/27,,,
SUNDAY,11:45 am,12:45 pm,BODYCOMBAT™,MB,VANESSA|KRISTA,12/14,,12/21,,12/28,,,,,
MONDAY,9:15 am,10:15 am,GROUP CYCLE,C,LISA BA,12/1,,12/8,,12/15,,12/22,,12/29,
TUESDAY,9:30 am,10:15 am,PILATES,MB,LAURIE,12/2,,12/9,,12/16,,12/23,,12/30,
WEDNESDAY,8:35 am,9:20 am,AQUAFIT,EP,ANDREA K,12/3,,12/10,,12/17,,12/24,,12/31,
MONDAY,9:30 am,10:15 am,AQUAFIT,EP,RON,12/1,,12/8,,12/15,,12/22,,12/29,
TUESDAY,10:00 am,11:00 am,BODYCOMBAT™,S,DANIELLE,12/2,,12/9,,12/16,,12/23,,12/30,
WEDNESDAY,9:30 am,10:15 am,AQUAFIT,EP,RON,12/3,,12/10,,12/17,,12/24,,12/31,
MONDAY,10:15:11:00 AM,,AQUA IN MOTION,EP,SAM R,12/1,,12/8,,12/15,,12/22,,12/29,
TUESDAY,10:30 am,11:15 am,FEELING FIT,FG,SAM R,12/2,,12/9,,12/16,,12/23,,12/30,
