Day,Start Time,End Time,Class Name,Location,Instructors,Date 1,Attendance 1,Date 2,Attendance 2,Date 3,Attendance 3,Date 4,Attendance 4,Date 5,Attendance 5
SATURDAY,7:15 am,7:45 am,GRIT - CARDIO™,SPC,MIKEY,7/6,12,7/13,10,7/20,7,7/27,10,,
SUNDAY,8:15 am,9:00 am,UPBEAT BARRE™,MB,GIL,7/7,20,7/14,20,7/21,14,7/28,10,,
MONDAY,5:30 am,6:00 am,GRIT - STRENGTH™,SPC,DANIELLE B,7/8,15,7/15,20,7/22,11,7/29,15,,
TUESDAY,5:15 am,6:15 am,BODYPUMP™,S,MELANIE,7/9,22,7/16,22,7/23,20,7/30,20,,
WEDNESDAY,5:30 am,6:00 am,GRIT - ATHLETIC™,SPC,MIKEY,7/10,8,7/17,5,7/24,9,7/31,8,,
THURSDAY,5:15 am,6:15 am,BODYPUMP™,S,MELANIE,7/11,25,7/18,20,7/25,20,,,,
FRIDAY,5:30 am,6:00 am,GRIT - CARDIO™,SPC,DANIELLE B,7/12,15,7/19,5,7/26,12,,,,
SATURDAY,8:00 am,9:00 am,BODYPUMP™,S,JENN W,7/6,26,7/13,18,7/20,16,7/27,25,,
SUNDAY,8:15 am,9:15 am,GROUP CYCLE,C,ERIN,7/7,20,7/14,22,7/21,21,7/28,24,,
MONDAY,7:15 am,7:45 am,GRIT - STRENGTH™,SPC,MELANIE,7/8,12,7/15,5,7/22,8,7/29,12,,
TUESDAY,5:30 am,6:00 am,GRIT - CARDIO™,SPC,MIKEY,7/9,8,7/16,12,7/23,7,7/30,7,,
WEDNESDAY,5:45 am,6:45 am,ACTIVE YOGA,MB,JOAN,7/10,15,7/17,14,7/24,14,7/31,14,,
THURSDAY,5:30 am,6:00 am,GRIT - CARDIO™,SPC,MIKEY,7/11,8,7/18,3,7/25,6,,,,
FRIDAY,5:45 am,6:45 am,ACTIVE YOGA,MB,JOAN,7/12,10,7/19,7,7/26,7,,,,
SATURDAY,8:45 am,9:45 am,BODYBALANCE™,MB,BRENDA,7/6,32,7/13,36,7/20,26,7/27,22,,
SUNDAY,8:15 am,9:15 am,BODYCOMBAT™,S,VANESSA|STEVE,7/7,6,7/14,8,7/21,3,7/28,8,,
MONDAY,8:15 am,9:00 am,TOTAL BODY STRONG,S,CAROL,7/8,32,7/15,34,7/22,30,7/29,29,,
TUESDAY,5:45 am,6:45 am,GROUP CYCLE,C,KARIN,7/9,7,7/16,6,7/23,8,7/30,9,,
WEDNESDAY,8:00 am,8:45 am,HIGH FITNESS®,MB,GIL G,7/10,22,7/17,20,7/24,16,7/31,18,,
THURSDAY,8:15 am,9:00 am,BARRE,MB,HEATHER C,7/11,20,7/18,20,7/25,15,,,,
FRIDAY,6:00 am,7:00 am,GROUP CYCLE,C,JACKIE P,7/12,15,7/19,12,7/26,17,,,,
SATURDAY,9:15 am,10:00 am,STEP-CARDIO,S,FRIEDA,7/6,10,7/13,15,7/20,15,7/27,8,,
SUNDAY,9:15 am,10:15 am,POWER YOGA,MB,EVA,7/7,25,7/14,29,7/21,26,7/28,21,,
MONDAY,9:00 am,10:00 am,ACTIVE YOGA,MB,SUSAN,7/8,18,7/15,20,7/22,15,7/29,14,,
TUESDAY,8:35 am,9:20 am,AQUAFIT,EP,CHAR,7/9,38,7/16,29,7/23,38,7/30,26,,
WEDNESDAY,8:15 am,9:00 am,TRX BODY BLAST®,S,CAROL,7/10,7,7/17,22,7/24,8,7/31,15,,
THURSDAY,8:35 am,9:20 am,AQUAFIT,EP,CHAR,7/11,30,7/18,31,7/25,35,,,,
FRIDAY,8:15 am,8:45 am,LES MILLS CORE™,MB,KIM K,7/12,12,7/19,13,7/26,15,,,,
SATURDAY,9:00 am,10:00 am,GROUP CYCLE,C,MEGHAN,7/6,26,7/13,20,7/20,15,7/27,20,,
SUNDAY,9:30 am,10:30 am,BODYPUMP™,S,JENN W|ROBERT,7/7,34,7/14,30,7/21,26,7/28,25,,
MONDAY,9:15 am,10:00 am,CARDIO DANCE,S,CAROL,7/8,34,7/15,36,7/22,33,7/29,36,,
TUESDAY,9:00 am,9:45 am,BARRE,S,HEATHER C,7/9,25,7/16,25,7/23,30,7/30,35,,
WEDNESDAY,9:00 am,10:00 am,ACTIVE YOGA,MB,JOAN,7/10,16,7/17,31,7/24,15,7/31,21,,
THURSDAY,9:00 am,9:45 am,CARDIO DANCE,S,LISA B,7/11,12,7/18,15,7/25,12,,,,
FRIDAY,8:15 am,9:00 am,TOTAL BODY STRONG,S,CAROL,7/12,30,7/19,30,7/26,30,,,,
SATURDAY,10:00 am,11:00 am,BODYCOMBAT™,MB,DANIELLE,7/6,30,7/13,30,7/20,25,7/27,16,,
SUNDAY,10:30 am,11:30 am,ACTIVE YOGA,MB,EVA,7/7,37,7/14,31,7/21,26,7/28,24,,
MONDAY,9:15 am,10:15 am,GROUP CYCLE,C,LISA BA,7/8,43,7/15,33,7/22,30,7/29,30,,
