Day,Start Time,End Time,Class Name,Location,Instructors,Date 1,Attendance 1,Date 2,Attendance 2,Date 3,Attendance 3,Date 4,Attendance 4,Date 5,Attendance 5
SATURDAY,7:15 am,7:45 am,GRIT - CARDIO™,SPC,MIKEY,6/1,10,6/8,16,6/15,15,6/22,12,6/29,12
SUNDAY,8:15 am,9:00 am,UPBEAT BARRE™,MB,GIL,6/2,15,6/9,15,6/16,12,6/23,18,6/30,18
MONDAY,5:30 am,6:00 am,GRIT - STRENGTH™,SPC,DANIELLE B,6/3,18,6/10,17,6/17,19,6/24,19,,
TUESDAY,5:15 am,6:15 am,BODYPUMP™,S,MELANIE,6/4,24,6/11,22,6/18,27,6/25,21,,
WEDNESDAY,5:30 am,6:00 am,GRIT - ATHLETIC™,SPC,MIKEY,6/5,11,6/12,12,6/19,9,6/26,11,,
THURSDAY,5:15 am,6:15 am,BODYPUMP™,S,MELANIE,6/6,19,6/13,18,6/20,17,6/27,14,,
FRIDAY,5:30 am,6:00 am,GRIT - CARDIO™,SPC,DANIELLE B,6/7,18,6/14,11,6/21,16,6/28,20,,
SATURDAY,8:00 am,9:00 am,BODYPUMP™,S,JENN W,6/1,25,6/8,22,6/15,34,6/22,20,6/29,34
SUNDAY,8:15 am,9:15 am,GROUP CYCLE,C,ERIN,6/2,15,6/9,25,6/16,24,6/23,18,6/30,25
MONDAY,7:15 am,7:45 am,GRIT - STRENGTH™,SPC,MELANIE,6/3,7,6/10,7,6/17,6,6/24,7,,
TUESDAY,5:30 am,6:00 am,GRIT - CARDIO™,SPC,MIKEY,6/4,9,6/11,7,6/18,6,6/25,11,,
WEDNESDAY,5:45 am,6:45 am,ACTIVE YOGA,MB,JOAN,6/5,13,6/12,20,6/19,15,6/26,16,,
THURSDAY,5:30 am,6:00 am,GRIT - CARDIO™,SPC,MIKEY,6/6,6,6/13,8,6/20,7,6/27,10,,
FRIDAY,5:45 am,6:45 am,ACTIVE YOGA,MB,JOAN,6/7,10,6/14,10,6/21,11,6/28,10,,
SATURDAY,8:45 am,9:45 am,BODYBALANCE™,MB,BRENDA,6/1,31,6/8,30,6/15,29,6/22,39,6/29,44
SUNDAY,8:15 am,9:15 am,BODYCOMBAT™,S,VANESSA|STEVE,6/2,10,6/9,8,6/16,13,6/23,7,6/30,6
MONDAY,8:15 am,9:00 am,TOTAL BODY STRONG,S,CAROL,6/3,34,6/10,36,6/17,32,6/24,35,,
TUESDAY,5:45 am,6:45 am,GROUP CYCLE,C,KARIN,6/4,6,6/11,10,6/18,13,6/25,8,,
WEDNESDAY,8:00 am,8:45 am,HIGH FITNESS®,MB,GIL G,6/5,20,6/12,22,6/19,25,6/26,23,,
THURSDAY,8:15 am,9:00 am,BARRE,MB,HEATHER C,6/6,16,6/13,20,6/20,20,6/27,20,,
FRIDAY,6:00 am,7:00 am,GROUP CYCLE,C,JACKIE P,6/7,10,6/14,10,6/21,9,6/28,12,,
SATURDAY,9:15 am,10:00 am,STEP-CARDIO,S,FRIEDA,6/1,16,6/8,11,6/15,12,6/22,21,6/29,22
SUNDAY,9:15 am,10:15 am,POWER YOGA,MB,EVA,6/2,30,6/9,30,6/16,30,6/23,30,6/30,25
MONDAY,9:00 am,10:00 am,ACTIVE YOGA,MB,SUSAN,6/3,39,6/10,20,6/17,33,6/24,20,,
TUESDAY,8:35 am,9:20 am,AQUAFIT,EP,CHAR,6/4,30,6/11,36,6/18,40,6/25,33,,
WEDNESDAY,8:15 am,9:00 am,TRX BODY BLAST®,S,CAROL,6/5,12,6/12,12,6/19,7,6/26,12,,
THURSDAY,8:35 am,9:20 am,AQUAFIT,EP,CHAR,6/6,39,6/13,12,6/20,33,6/27,37,,
FRIDAY,8:15 am,8:45 am,LES MILLS CORE™,MB,KIM K,6/7,16,6/14,12,6/21,5,6/28,8,,
SATURDAY,9:00 am,10:00 am,GROUP CYCLE,C,MEGHAN,6/1,30,6/8,35,6/15,30,6/22,27,6/29,31
SUNDAY,9:30 am,10:30 am,BODYPUMP™,S,JENN W|ROBERT,6/2,25,6/9,25,6/16,28,6/23,24,6/30,28
