Day,Start Time,End Time,Class Name,Location,Instructors,Date 1,Attendance 1,Date 2,Attendance 2,Date 3,Attendance 3,Date 4,Attendance 4,Date 5,Attendance 5
SATURDAY,7:15 am,7:45 am,GRIT - CARDIO™,SPC,MIKEY,5/4,10,5/11,8,5/18,10,5/25,16,,
SUNDAY,8:15 am,9:00 am,UPBEAT BARRE™,MB,GIL,5/5,21,5/12,15,5/19,24,5/26,10,,
MONDAY,5:30 am,6:00 am,GRIT - STRENGTH™,SPC,DANIELLE B,5/6,21,5/13,17,5/20,28,,,,
TUESDAY,5:15 am,6:15 am,BODYPUMP™,S,MELANIE,5/7,24,5/14,19,5/21,24,5/28,20,,
WEDNESDAY,5:30 am,6:00 am,GRIT - ATHLETIC™,SPC,MIKEY,5/1,13,5/8,16,5/15,13,5/22,15,5/29,10
THURSDAY,5:15 am,6:15 am,BODYPUMP™,S,MELANIE,5/2,22,5/9,21,5/16,16,5/23,20,5/30,20
FRIDAY,5:30 am,6:00 am,GRIT - CARDIO™,SPC,DANIELLE B,5/3,19,5/10,20,5/17,17,5/24,12,5/31,13
SATURDAY,8:00 am,9:00 am,BODYPUMP™,S,JENN W,5/4,17,5/11,28,5/18,25,5/25,25,,
SUNDAY,8:15 am,9:15 am,GROUP CYCLE,C,ERIN,5/5,20,5/12,15,5/19,21,5/26,23,,
MONDAY,7:15 am,7:45 am,GRIT - STRENGTH™,SPC,MELANIE,5/6,5,5/13,2,5/20,7,,,,
TUESDAY,5:30 am,6:00 am,GRIT - CARDIO™,SPC,MIKEY,5/7,9,5/14,9,5/21,10,5/28,6,,
WEDNESDAY,5:45 am,6:45 am,ACTIVE YOGA,MB,JOAN,5/1,14,5/8,14,5/15,16,5/22,11,5/29,12
THURSDAY,5:30 am,6:00 am,GRIT - CARDIO™,SPC,MIKEY,5/2,8,5/9,8,5/16,9,5/23,10,5/30,4
FRIDAY,5:45 am,6:45 am,ACTIVE YOGA,MB,JOAN,5/3,7,5/10,10,5/17,10,5/24,16,5/31,15
SATURDAY,8:45 am,9:45 am,BODYBALANCE™,MB,BRENDA,5/4,36,5/11,37,5/18,40,5/25,30,,
SUNDAY,8:15 am,9:15 am,BODYCOMBAT™,S,VANESSA|STEVE,5/5,8,5/12,6,5/19,5,5/26,8,,
MONDAY,8:15 am,9:00 am,TOTAL BODY STRONG,S,CAROL,5/6,35,5/13,35,5/20,34,,,,
TUESDAY,5:45 am,6:45 am,GROUP CYCLE,C,KARIN,5/7,9,5/14,5,5/21,3,5/28,4,,
WEDNESDAY,8:00 am,8:45 am,HIGH FITNESS®,MB,GIL G,5/1,14,5/8,18,5/15,22,5/22,19,5/29,18
