Day,Start Time,End Time,Class Name,Location,Instructors,Date 1,Attendance 1,Date 2,Attendance 2,Date 3,Attendance 3,Date 4,Attendance 4,Date 5,Attendance 5
SATURDAY,7:15 am,7:45 am,GRIT - CARDIO™,SPC,MIKEY,11/2,12,11/9,12,11/16,10,11/23,12,11/30,12
SUNDAY,8:15 am,9:00 am,UPBEAT BARRE™,MB,GIL,11/3,17,11/10,19,11/17,23,11/24,20,,
MONDAY,5:15 am,6:00 am,BODYCOMBAT™,S,KATHY F,11/4,9,11/11,6,11/18,9,11/25,9,,
TUESDAY,5:15 am,6:15 am,BODYPUMP™,S,MELANIE,11/5,23,11/12,20,11/19,25,11/26,20,,
WEDNESDAY,5:30 am,6:00 am,GRIT - ATHLETIC™,SPC,MIKEY,11/6,12,11/13,12,11/20,12,11/27,11,,
THURSDAY,5:15 am,6:15 am,BODYPUMP™,S,MELANIE,11/7,20,11/14,20,11/21,22,,,,
FRIDAY,5:30 am,6:00 am,GRIT - CARDIO™,SPC,DANIELLE B,11/1,8,11/15,15,11/22,13,11/29,17,,
SATURDAY,7:30 am,8:30 am,ACTIVE YOGA,MB,LAUREN,11/2,7,11/9,7,11/16,8,11/23,8,11/30,7
SUNDAY,8:15 am,9:15 am,GROUP CYCLE,C,ERIN,11/3,40,11/10,36,11/17,32,11/24,30,,
MONDAY,5:30 am,6:00 am,GRIT - STRENGTH™,SPC,DANIELLE B,11/4,15,11/11,20,11/18,17,11/25,19,,
TUESDAY,5:30 am,6:00 am,GRIT - CARDIO™,SPC,MIKEY,11/5,9,11/12,10,11/19,11,11/26,8,,
WEDNESDAY,5:45 am,6:45 am,ACTIVE YOGA,MB,JOAN,11/6,7,11/13,8,11/20,10,11/27,9,,
THURSDAY,5:30 am,6:00 am,GRIT - CARDIO™,SPC,MIKEY,11/7,8,11/14,8,11/21,7,,,,
FRIDAY,5:45 am,6:45 am,ACTIVE YOGA,MB,JOAN,11/1,8,11/15,9,11/22,14,11/29,13,,
SATURDAY,8:00 am,9:00 am,BODYPUMP™,S,JENN W,11/2,30,11/9,34,11/16,33,11/23,24,11/30,22
SUNDAY,8:15 am,9:15 am,BODYCOMBAT™,S,VANESSA|STEVE,11/3,6,11/10,5,11/17,6,11/24,7,,
MONDAY,7:15 am,7:45 am,GRIT - STRENGTH™,SPC,MELANIE,11/4,7,11/11,5,11/18,10,11/25,12,,
TUESDAY,5:45 am,6:45 am,GROUP CYCLE,C,KARIN,11/5,9,11/12,19,11/19,12,11/26,11,,
WEDNESDAY,8:00 am,8:45 am,HIGH FITNESS®,MB,GIL G,11/6,13,11/13,15,11/20,20,11/27,18,,
THURSDAY,8:30 am,9:00 am,UPBEAT BARRE™,MB,ANNA B,11/7,20,11/14,24,11/21,27,,,,
FRIDAY,6:00 am,7:00 am,GROUP CYCLE,C,JACKIE P,11/1,11,11/15,12,11/22,13,11/29,12,,
SATURDAY,8:45 am,9:45 am,BODYBALANCE™,MB,BRENDA,11/2,40,11/9,42,11/16,38,11/23,40,11/30,38
SUNDAY,9:15 am,10:15 am,POWER YOGA,MB,EVA,11/3,32,11/10,31,11/17,29,11/24,31,,
MONDAY,8:15 am,9:00 am,TOTAL BODY STRONG,S,CAROL,11/4,52,11/11,30,11/18,35,11/25,30,,
TUESDAY,8:35 am,9:20 am,AQUAFIT,EP,CHAR,11/5,27,11/12,27,11/19,30,11/26,32,,
WEDNESDAY,8:15 am,9:00 am,TRX BODY BLAST®,S,CAROL,11/6,20,11/13,15,11/20,20,11/27,18,,
THURSDAY,8:35 am,9:20 am,AQUAFIT,EP,CHAR,11/7,38,11/14,32,11/21,29,,,,
FRIDAY,8:15 am,8:45 am,LES MILLS CORE™,MB,KIM K,11/1,8,11/15,10,11/22,12,11/29,11,,
SATURDAY,9:15 am,10:00 am,STEP-CARDIO,S,FRIEDA,11/2,14,11/9,18,11/16,17,11/23,12,11/30,11
SUNDAY,9:30 am,10:30 am,BODYPUMP™,S,JENN W|ROBERT,11/3,31,11/10,27,11/17,28,11/24,24,,
MONDAY,9:00 am,10:00 am,ACTIVE YOGA,MB,SUSAN,11/4,20,11/11,20,11/18,19,11/25,18,,
TUESDAY,9:00 am,9:45 am,BARRE,S,HEATHER C,11/5,29,11/12,29,11/19,30,11/26,32,,
WEDNESDAY,9:00 am,10:00 am,ACTIVE YOGA,MB,JOAN,11/6,13,11/13,15,11/20,17,11/27,18,,
THURSDAY,9:00 am,9:45 am,CARDIO DANCE,S,LISA B,11/7,20,11/14,20,11/21,21,,,,
FRIDAY,8:15 am,9:00 am,TOTAL BODY STRONG,S,CAROL,11/1,25,11/15,35,11/22,30,11/29,32,,
SATURDAY,9:00 am,10:00 am,GROUP CYCLE,C,MEGHAN,11/2,35,11/9,30,11/16,28,11/23,27,11/30,30
SUNDAY,10:30 am,11:30 am,ACTIVE YOGA,MB,EVA,11/3,35,11/10,36,11/17,40,11/24,37,,
MONDAY,9:15 am,10:00 am,CARDIO DANCE,S,CAROL,11/4,47,11/11,37,11/18,49,11/25,35,,
TUESDAY,9:15 am,10:00 am,LES MILLS RPM™,C,ADRIANA,11/5,12,11/12,14,11/19,13,11/26,12,,
WEDNESDAY,9:15 am,10:00 am,STEP-INTERVAL,S,CAROL,11/6,20,11/13,21,11/20,25,11/27,24,,
THURSDAY,9:30 am,10:15 am,AQUAFIT,EP,SAM R,11/7,30,11/14,32,11/21,23,,,,
FRIDAY,9:00 am,10:00 am,GENTLE YOGA,MB,EVA,11/1,36,11/15,40,11/22,38,11/29,37,,
SATURDAY,10:00 am,11:00 am,BODYCOMBAT™,MB,DANIELLE,11/2,36,11/9,35,11/16,35,11/23,33,11/30,37
SUNDAY,10:30 am,11:15 am,LES MILLS RPM™,C,ROBERT|JAYME,11/3,6,11/10,10,11/17,12,11/24,11,,
MONDAY,9:15 am,10:15 am,GROUP CYCLE,C,LISA BA,11/4,56,11/11,45,11/18,50,11/25,52,,
TUESDAY,9:30 am,10:15 am,AQUA ZUMBA®,EP,SHALOM,11/5,32,11/12,29,11/19,28,11/26,30,,
WEDNESDAY,9:15 am,10:15 am,GROUP CYCLE,C,MINDY,11/6,26,11/13,28,11/20,25,11/27,25,,
THURSDAY,9:30 am,10:15 am,PILATES,MB,LAURIE,11/7,39,11/14,34,11/21,37,,,,
FRIDAY,9:15 am,10:00 am,CARDIO DANCE,S,CAROL,11/1,35,11/15,37,11/22,34,11/29,23,,
SATURDAY,10:15 am,11:15 am,ZUMBA®,S,NANETTE,11/2,20,11/9,20,11/16,22,11/23,19,11/30,20
SUNDAY,10:45 am,11:15 am,LES MILLS CORE™,S,JENN W,11/3,5,11/10,7,11/17,11,11/24,6,,
MONDAY,9:30 am,10:15 am,AQUAFIT,EP,RON,11/4,60,11/11,60,11/18,57,11/25,52,,
