Day,Start Time,End Time,Class Name,Location,Instructors,Date 1,Attendance 1,Date 2,Attendance 2,Date 3,Attendance 3,Date 4,Attendance 4,Date 5,Attendance 5
SATURDAY,7:15 am,7:45 am,GRIT - CARDIO™,SPC,MIKEY,11/1,14,11/8,12,11/15,11,11/22,11,11/28,12
SUNDAY,8:15 am,9:15 am,GROUP CYCLE,C,ERIN,11/2,30,11/9,32,11/16,30,11/23,36,11/30,32
MONDAY,5:15 am,6:00 am,BODYCOMBAT™,S,KATHY F,11/3,4,11/10,4,11/17,6,11/24,6,,
TUESDAY,5:15 am,6:15 am,BODYPUMP™,S,MELANIE,11/4,14,11/11,16,11/18,20,11/25,17,,
WEDNESDAY,5:30 am,6:00 am,GRIT - ATHLETIC™,SPC,MIKEY,11/5,15,11/12,15,11/19,13,11/26,8,,
THURSDAY,5:15 am,6:15 am,BODYPUMP™,S,MELANIE,11/6,18,11/13,17,11/20,12,11/27,16,,
FRIDAY,5:30 am,6:00 am,GRIT - CARDIO™,SPC,DANIELLE B,11/7,13,11/14,15,11/21,11,11/28,9,,
SATURDAY,8:00 am,9:00 am,BODYPUMP™,S,JENN W,11/1,23,11/8,23,11/15,26,11/22,26,11/28,25
SUNDAY,8:30 am,9:15 am,UPBEAT BARRE™,S,GIL,11/2,34,11/9,33,11/16,28,11/23,30,11/30,30
MONDAY,5:30 am,6:00 am,GRIT - STRENGTH™,SPC,DANIELLE B,11/3,25,11/10,25,11/17,14,11/24,24,,
TUESDAY,5:30 am,6:00 am,BOOTCAMP,SPC,MIKEY,11/4,11,11/11,9,11/18,14,11/25,12,,
WEDNESDAY,5:45 am,6:45 am,ACTIVE YOGA,MB,JOAN,11/5,12,11/12,16,11/19,15,11/26,12,,
THURSDAY,5:30 am,6:15 am,BOOTCAMP,SPC,MIKEY,11/6,17,11/13,19,11/20,11,11/27,25,,
FRIDAY,5:45 am,6:45 am,ACTIVE YOGA,MB,JOAN,11/7,12,11/14,12,11/21,12,11/28,12,,
SATURDAY,8:45 am,9:45 am,BODYBALANCE™,MB,BRENDA,11/1,32,11/8,32,11/15,45,11/22,35,11/28,35
SUNDAY,9:15 am,10:15 am,POWER YOGA,MB,EVA,11/2,33,11/9,26,11/16,28,11/23,25,11/30,25
MONDAY,7:15 am,7:45 am,GRIT - STRENGTH™,SPC,MELANIE,11/3,7,11/10,7,11/17,10,11/24,4,,
TUESDAY,5:45 am,6:45 am,GROUP CYCLE,C,KARIN,11/4,8,11/11,8,11/18,8,11/25,6,,
WEDNESDAY,6:15 am,7:00 am,UPBEAT LIFT™,S,GIL G,11/5,14,11/12,10,11/19,15,11/26,18,,
THURSDAY,8:30 am,9:15 am,UPBEAT BARRE™,MB,TIA,11/6,45,11/13,45,11/20,43,11/27,43,,
FRIDAY,6:15 am,7:00 am,GROUP CYCLE,C,JACKIE P,11/7,13,11/14,11,11/21,16,11/28,3,,
SATURDAY,9:00 am,10:00 am,GROUP CYCLE,C,MEGHAN,11/1,35,11/8,35,11/15,35,11/22,40,11/28,40
SUNDAY,9:30 am,10:30 am,BODYPUMP™,S,JENN W|ROBERT,11/2,36,11/9,34,11/16,35,11/23,30,11/30,30
MONDAY,8:00 am,8:45 am,UPBEAT PILATES™,MB,JADA B,11/3,20,11/10,13,11/17,13,11/24,15,,
TUESDAY,8:30 am,9:15 am,CARDIO DANCE,MB,SAM R,11/4,25,11/11,25,11/18,37,11/25,26,,
WEDNESDAY,8:00 am,8:45 am,HIGH FITNESS®,MB,GIL G,11/5,16,11/12,18,11/19,15,11/26,16,,
THURSDAY,8:35 am,9:20 am,AQUAFIT,EP,CHAR,11/6,29,11/13,27,11/20,30,11/27,25,,
FRIDAY,8:00 am,9:45 am,UPBEAT PILATES™,MB,JADA B,11/7,12,11/14,15,11/21,14,11/28,10,,
SATURDAY,9:15 am,10:00 am,STEP-CARDIO,S,FRIEDA,11/1,20,11/8,13,11/15,23,11/22,20,11/28,19
SUNDAY,10:30 am,11:30 am,ACTIVE YOGA,MB,EVA,11/2,39,11/9,51,11/16,45,11/23,42,11/30,42
MONDAY,8:35 am,9:20 am,AQUA CIRCUIT,EP,RON,11/3,11,11/10,21,11/17,18,11/24,13,,
TUESDAY,8:35 am,9:20 am,AQUAFIT,EP,CHAR,11/4,34,11/11,26,11/18,27,11/25,18,,
WEDNESDAY,8:15 am,9:00 am,TRX BODY BLAST®,S,CAROL,11/5,8,11/12,8,11/19,8,11/26,8,,
THURSDAY,9:00 am,9:45 am,CARDIO DANCE,S,LISA B,11/6,5,11/13,18,11/20,8,11/27,8,,
FRIDAY,8:15 am,9:00 am,TOTAL BODY STRONG,S,CAROL,11/7,35,11/14,40,11/21,37,11/28,28,,
SATURDAY,10:00 am,11:00 am,BODYCOMBAT™,MB,DANIELLE,11/1,44,11/8,36,11/15,30,11/22,35,11/28,35
SUNDAY,10:30 am,11:15 am,LES MILLS RPM™,C,ROBERT|JAYME,11/2,15,11/9,20,11/16,17,11/23,17,11/30,17
MONDAY,8:15 am,9:00 am,TOTAL BODY STRONG,S,CAROL,11/3,20,11/10,19,11/17,20,11/24,20,,
TUESDAY,9:00 am,9:45 am,UPBEAT BARRE™,S,SARA,11/4,37,11/11,34,11/18,28,11/25,31,,
WEDNESDAY,9:00 am,10:00 am,ACTIVE YOGA,MB,JOAN,11/5,21,11/12,16,11/19,18,11/26,18,,
THURSDAY,9:15 am,10:00 am,LES MILLS RPM™,C,IRINA,11/6,10,11/13,10,11/20,5,11/27,36,,
FRIDAY,9:00 am,10:00 am,GENTLE YOGA,MB,EVA,11/7,47,11/14,44,11/21,43,11/28,20,,
SATURDAY,10:15 am,11:15 am,ZUMBA®,S,NANETTE,11/1,20,11/8,20,11/15,20,11/22,20,11/28,20
SUNDAY,10:45 am,11:15 am,LES MILLS CORE™,S,JENN W,11/2,7,11/9,14,11/16,14,11/23,12,11/30,12
MONDAY,9:00 am,10:00 am,ACTIVE YOGA,MB,SUSAN,11/3,25,11/10,17,11/17,20,11/24,20,,
TUESDAY,9:15 am,10:00 am,LES MILLS RPM™,C,ADRIANA,11/4,21,11/11,21,11/18,18,11/25,16,,
WEDNESDAY,9:15 am,10:00 am,STEP-INTERVAL,S,CAROL,11/5,14,11/12,10,11/19,14,11/26,13,,
THURSDAY,9:30 am,10:15 am,AQUAFIT,EP,SAM R,11/6,15,11/13,15,11/20,16,11/27,15,,
FRIDAY,9:15 am,10:00 am,CARDIO DANCE,S,CAROL,11/7,58,11/14,51,11/21,57,11/28,48,,
