Day,Start Time,End Time,Class Name,Location,Instructors,Date 1,Attendance 1,Date 2,Attendance 2,Date 3,Attendance 3,Date 4,Attendance 4,Date 5,Attendance 5
SATURDAY,7:15 am,7:45 am,GRIT - CARDIO™,SPC,MIKEY,10/5,10,10/12,10,10/19,10,10/26,10,,
SUNDAY,8:15 am,9:00 am,UPBEAT BARRE™,MB,GIL,10/6,25,10/13,25,10/20,25,10/27,24,,
MONDAY,5:15 am,6:00 am,BODYCOMBAT™,S,KATHY F,10/7,9,10/14,6,,,,,,
TUESDAY,5:15 am,6:15 am,BODYPUMP™,S,MELANIE,10/1,20,10/8,20,10/15,20,,,,
WEDNESDAY,5:30 am,6:00 am,GRIT - ATHLETIC™,SPC,MIKEY,10/2,10,10/9,12,10/16,12,10/23,12,,
THURSDAY,5:15 am,6:15 am,BODYPUMP™,S,MELANIE,10/3,22,10/10,20,10/17,20,10/31,24,,
FRIDAY,5:30 am,6:00 am,GRIT - CARDIO™,SPC,DANIELLE B,10/4,13,10/25,8,,,,,,
SATURDAY,7:30 am,8:30 am,ACTIVE YOGA,MB,LAUREN,10/5,8,10/12,7,10/19,8,10/26,6,,
SUNDAY,8:15 am,9:15 am,GROUP CYCLE,C,ERIN,10/6,29,10/13,36,10/20,32,10/27,30,,
MONDAY,5:30 am,6:00 am,GRIT - STRENGTH™,SPC,DANIELLE B,10/7,20,10/14,20,,,,,,
TUESDAY,5:30 am,6:00 am,GRIT - CARDIO™,SPC,MIKEY,10/1,10,10/8,10,10/15,10,10/22,9,10/29,9
WEDNESDAY,5:45 am,6:45 am,ACTIVE YOGA,MB,JOAN,10/2,10,10/9,7,10/16,8,,,,
THURSDAY,5:30 am,6:00 am,GRIT - CARDIO™,SPC,MIKEY,10/3,8,10/10,8,10/17,8,10/24,7,10/31,7
FRIDAY,5:45 am,6:45 am,ACTIVE YOGA,MB,JOAN,10/4,10,10/18,9,,,,,,
SATURDAY,8:00 am,9:00 am,BODYPUMP™,S,JENN W,10/5,40,10/12,33,10/19,20,10/26,34,,
SUNDAY,8:15 am,9:15 am,BODYCOMBAT™,S,VANESSA|STEVE,10/6,6,10/13,5,10/20,5,,,,
MONDAY,7:15 am,7:45 am,GRIT - STRENGTH™,SPC,MELANIE,10/7,7,10/14,5,10/21,17,10/28,15,,
TUESDAY,5:45 am,6:45 am,GROUP CYCLE,C,KARIN,10/1,10,10/8,19,10/15,9,,,,
WEDNESDAY,8:00 am,8:45 am,HIGH FITNESS®,MB,GIL G,10/2,15,10/9,12,10/16,26,10/23,16,10/30,12
THURSDAY,8:30 am,9:00 am,UPBEAT BARRE™,MB,ANNA B,10/3,24,10/10,20,10/17,24,10/24,18,,
FRIDAY,6:00 am,7:00 am,GROUP CYCLE,C,JACKIE P,10/4,14,10/11,12,10/18,13,10/25,11,,
SATURDAY,8:45 am,9:45 am,BODYBALANCE™,MB,BRENDA,10/5,40,10/12,26,10/19,38,,,,
SUNDAY,9:15 am,10:15 am,POWER YOGA,MB,EVA,10/6,31,10/13,31,10/20,21,10/27,29,,
MONDAY,8:15 am,9:00 am,TOTAL BODY STRONG,S,CAROL,10/7,30,10/14,36,,,,,,
TUESDAY,8:35 am,9:20 am,AQUAFIT,EP,CHAR,10/1,32,10/8,32,10/15,32,10/22,32,10/29,32
WEDNESDAY,8:15 am,9:00 am,TRX BODY BLAST®,S,CAROL,10/2,9,10/9,10,10/16,15,10/30,12,,
THURSDAY,8:35 am,9:20 am,AQUAFIT,EP,CHAR,10/3,27,10/10,27,10/17,27,10/24,36,10/31,30
FRIDAY,8:15 am,8:45 am,LES MILLS CORE™,MB,KIM K,10/4,5,10/18,26,,,,,,
SATURDAY,9:15 am,10:00 am,STEP-CARDIO,S,FRIEDA,10/5,12,10/12,12,10/19,11,10/26,12,,
SUNDAY,9:30 am,10:30 am,BODYPUMP™,S,JENN W|ROBERT,10/6,25,10/13,24,10/20,25,10/27,27,,
MONDAY,9:00 am,10:00 am,ACTIVE YOGA,MB,SUSAN,10/7,20,10/14,20,,,,,,
TUESDAY,9:00 am,9:45 am,BARRE,S,HEATHER C,10/1,30,10/8,22,10/15,22,10/22,23,,
WEDNESDAY,9:00 am,10:00 am,ACTIVE YOGA,MB,JOAN,10/2,22,10/9,13,10/16,15,,,,
THURSDAY,9:00 am,9:45 am,CARDIO DANCE,S,LISA B,10/3,20,10/10,20,10/17,20,,,,
FRIDAY,8:15 am,9:00 am,TOTAL BODY STRONG,S,CAROL,10/4,30,10/18,43,,,,,,
SATURDAY,9:00 am,10:00 am,GROUP CYCLE,C,MEGHAN,10/5,20,10/12,21,10/19,18,10/26,28,,
SUNDAY,10:30 am,11:30 am,ACTIVE YOGA,MB,EVA,10/6,36,10/13,40,10/20,41,10/27,40,,
MONDAY,9:15 am,10:00 am,CARDIO DANCE,S,CAROL,10/7,40,10/14,28,10/21,36,10/28,32,,
TUESDAY,9:15 am,10:00 am,LES MILLS RPM™,C,ADRIANA,10/1,10,10/8,14,10/15,14,10/22,12,10/29,15
WEDNESDAY,9:15 am,10:00 am,STEP-INTERVAL,S,CAROL,10/2,22,10/9,10,10/16,10,10/30,22,,
THURSDAY,9:30 am,10:15 am,AQUAFIT,EP,SAM R,10/3,25,10/10,25,10/17,25,10/24,27,10/31,23
FRIDAY,9:00 am,10:00 am,GENTLE YOGA,MB,EVA,10/4,43,10/11,37,10/18,37,10/25,36,,
SATURDAY,10:00 am,11:00 am,BODYCOMBAT™,MB,DANIELLE,10/5,50,10/12,30,10/19,30,10/26,21,,
SUNDAY,10:30 am,11:15 am,LES MILLS RPM™,C,ROBERT|JAYME,10/6,12,10/13,11,10/20,12,10/27,13,,
MONDAY,9:15 am,10:15 am,GROUP CYCLE,C,LISA BA,10/7,44,10/14,55,10/21,35,10/28,47,,
