Day,Start Time,End Time,Class Name,Location,Instructors,Date 1,Attendance 1,Date 2,Attendance 2,Date 3,Attendance 3,Date 4,Attendance 4,Date 5,Attendance 5
SATURDAY,7:15 am,7:45 am,GRIT - CARDIO™,SPC,MIKEY,10/4,10,10/11,12,10/18,7,10/25,11,,
SUNDAY,8:15 am,9:15 am,GROUP CYCLE,C,ERIN,10/5,25,10/12,30,10/19,25,10/26,30,11/2,28
MONDAY,5:15 am,6:00 am,BODYCOMBAT™,S,KATHY F,10/6,24,10/13,26,10/20,29,10/27,21,11/3,24
TUESDAY,5:15 am,6:15 am,BODYPUMP™,S,MELANIE,10/7,14,10/14,18,10/21,17,10/27,16,11/4,15
WEDNESDAY,5:30 am,6:00 am,GRIT - ATHLETIC™,SPC,MIKEY,10/8,10,10/15,12,10/22,15,10/29,6,11/8,11
THURSDAY,5:15 am,6:15 am,BODYPUMP™,S,MELANIE,10/9,13,10/16,18,10/23,17,10/30,18,11/6,17
FRIDAY,5:30 am,6:00 am,GRIT - CARDIO™,SPC,DANIELLE B,10/3,13,10/10,12,10/17,15,10/24,9,10/31,15
SATURDAY,8:00 am,9:00 am,BODYPUMP™,S,JENN W,10/4,13,10/11,12,10/18,14,10/25,18,,
SUNDAY,8:30 am,9:15 am,UPBEAT BARRE™,S,GIL,10/5,35,10/12,41,10/19,42,10/26,37,11/2,39
MONDAY,5:30 am,6:00 am,GRIT - STRENGTH™,SPC,DANIELLE B,10/6,21,10/13,13,10/20,22,10/27,17,11/3,20
TUESDAY,5:30 am,6:00 am,BOOTCAMP,SPC,MIKEY,10/7,19,10/14,14,10/21,14,10/27,12,11/4,11
WEDNESDAY,5:45 am,6:45 am,ACTIVE YOGA,MB,JOAN,10/8,13,10/15,13,10/22,14,10/29,17,11/8,10
THURSDAY,5:30 am,6:00 am,BOOTCAMP,SPC,MIKEY,10/9,17,10/16,12,10/23,12,10/30,13,11/6,14
FRIDAY,5:45 am,6:45 am,ACTIVE YOGA,MB,JOAN,10/3,12,10/10,5,10/17,10,10/24,9,10/31,8
SATURDAY,8:45 am,9:45 am,BODYBALANCE™,MB,BRENDA,10/4,27,10/11,33,10/18,24,10/25,26,,
SUNDAY,9:15 am,10:15 am,POWER YOGA,MB,EVA,10/5,24,10/12,20,10/19,18,10/26,16,11/2,17
MONDAY,7:15 am,7:45 am,GRIT - STRENGTH™,SPC,MELANIE,10/6,3,10/13,8,10/20,10,10/27,8,11/3,11
TUESDAY,5:45 am,6:45 am,GROUP CYCLE,C,KARIN,10/7,8,10/14,8,10/21,8,10/27,7,11/4,9
WEDNESDAY,6:15 am,7:00 am,UPBEAT LIFT™,S,GIL G,10/8,15,10/15,16,10/22,12,10/29,15,11/8,15
THURSDAY,8:30 am,9:00 am,UPBEAT BARRE™,MB,TIA,10/9,35,10/16,37,10/23,47,10/30,38,11/6,42
FRIDAY,6:00 am,7:00 am,GROUP CYCLE,C,JACKIE P,10/3,8,10/10,15,10/17,10,10/24,10,10/31,15
SATURDAY,9:00 am,10:00 am,GROUP CYCLE,C,MEGHAN,10/4,23,10/11,22,10/18,17,10/25,24,,
SUNDAY,9:30 am,10:30 am,BODYPUMP™,S,JENN W|ROBERT,10/5,13,10/12,18,10/19,16,10/26,17,11/2,14
MONDAY,8:00 am,8:45 am,UPBEAT PILATES™,MB,JADA,10/6,16,10/13,8,10/20,10,10/27,13,11/3,9
TUESDAY,8:30 am,9:15 am,CARDIO DANCE,MB,SAM R,10/7,28,10/14,26,10/21,30,10/27,29,11/4,24
WEDNESDAY,8:00 am,8:45 am,HIGH FITNESS®,MB,GIL G,10/8,19,10/15,12,10/22,15,10/29,15,11/8,17
THURSDAY,8:35 am,9:20 am,AQUAFIT,EP,CHAR,10/9,23,10/16,26,10/23,27,10/30,34,11/6,30
FRIDAY,8:00 am,9:45 am,UPBEAT PILATES™,MB,JADA B,10/3,8,10/10,9,10/17,3,10/24,9,10/31,9
SATURDAY,9:15 am,10:00 am,STEP-CARDIO,S,FRIEDA,10/4,13,10/11,12,10/18,19,10/25,18,,
SUNDAY,10:30 am,11:30 am,ACTIVE YOGA,MB,EVA,10/5,32,10/12,36,10/19,38,10/26,29,11/2,36
