Day,Start Time,End Time,Class Name,Location,Instructors,Date 1,Attendance 1,Date 2,Attendance 2,Date 3,Attendance 3,Date 4,Attendance 4,Date 5,Attendance 5
SATURDAY,7:15 am,7:45 am,GRIT - CARDIO™,SPC,MIKEY,9/7,12,9/14,8,9/21,9,9/28,10,,
SUNDAY,8:15 am,9:00 am,UPBEAT BARRE™,MB,GIL,9/1,20,9/8,20,9/15,15,9/22,20,9/29,17
MONDAY,5:15 am,6:00 am,BODYCOMBAT™,S,KATHY F,9/9,5,9/16,6,9/23,8,9/30,9,,
TUESDAY,5:15 am,6:15 am,BODYPUMP™,S,MELANIE,9/3,20,9/10,20,9/17,20,9/24,20,,
WEDNESDAY,5:30 am,6:00 am,GRIT - ATHLETIC™,SPC,MIKEY,9/4,10,9/11,10,9/18,13,9/25,11,10/2,10
THURSDAY,5:15 am,6:15 am,BODYPUMP™,S,MELANIE,9/5,22,9/12,22,9/19,21,9/26,20,10/3,22
FRIDAY,5:30 am,6:00 am,GRIT - CARDIO™,SPC,DANIELLE B,9/6,12,9/13,12,9/20,13,9/27,15,,
SATURDAY,7:30 am,8:30 am,ACTIVE YOGA,MB,LAUREN,9/7,7,9/14,7,9/21,17,9/28,8,,
SUNDAY,8:15 am,9:15 am,GROUP CYCLE,C,ERIN,9/1,27,9/8,27,9/15,28,9/22,18,9/29,28
MONDAY,5:30 am,6:00 am,GRIT - STRENGTH™,SPC,DANIELLE B,9/9,20,9/16,20,9/23,16,9/30,21,,
TUESDAY,5:30 am,6:00 am,GRIT - CARDIO™,SPC,MIKEY,9/3,8,9/10,8,9/17,9,9/24,10,,
WEDNESDAY,5:45 am,6:45 am,ACTIVE YOGA,MB,JOAN,9/4,12,9/11,12,9/18,12,9/25,11,10/2,10
THURSDAY,5:30 am,6:00 am,GRIT - CARDIO™,SPC,MIKEY,9/5,8,9/12,8,9/19,6,9/26,7,10/3,8
FRIDAY,5:45 am,6:45 am,ACTIVE YOGA,MB,JOAN,9/6,10,9/13,10,9/20,10,9/27,10,,
SATURDAY,8:00 am,9:00 am,BODYPUMP™,S,JENN W,9/7,28,9/14,29,9/21,33,9/28,25,,
