Day,Start Time,End Time,Class Name,Location,Instructor 1,Instructor 2,Date 1,Attendance 1,Date 2,Attendance 2,Date 3,Attendance 3,Date 4,Attendance 4,Date 5,Attendance 5
SATURDAY,7:15 am,7:45 am,GRIT - CARDIO™,SPC,MIKEY,,5/3,13,5/10,11,5/17,8,5/24,7,5/31,13
SATURDAY,8:00 am,9:00 am,BODYPUMP™,S,JENN W,,5/3,27,5/10,23,5/17,24,5/24,23,5/31,35
SATURDAY,8:45 am,9:45 am,BODYBALANCE™,MB,BRENDA,,5/3,28,5/10,31,5/17,30,5/24,35,5/31,30
SATURDAY,9:15 am,10:00 am,STEP-CARDIO,S,FRIEDA,,5/3,17,5/10,16,5/17,15,5/24,18,5/31,20
SATURDAY,9:00 am,10:00 am,GROUP CYCLE,C,MEGHAN,,5/3,35,5/10,15,5/17,31,5/24,32,5/31,28
SATURDAY,10:00 am,11:00 am,BODYCOMBAT™,MB,DANIELLE,,5/3,30,5/10,21,5/17,20,5/24,37,5/31,38
SATURDAY,10:15 am,11:15 am,ZUMBA®,S,NANETTE,,5/3,20,5/10,20,5/17,20,5/24,20,5/31,20
SATURDAY,11:15 am,12:15 pm,ACTIVE YOGA,MB,JULIE,,5/3,32,5/10,9,5/17,16,5/24,23,5/31,26
SATURDAY,11:30 am,12:30 pm,TAI CHI,S,BINH,,5/3,10,5/10,13,5/17,15,5/24,18,5/31,15
SUNDAY,8:15 am,9:15 am,GROUP CYCLE,C,ERIN,,5/4,25,5/11,30,5/18,32,5/25,32,,
SUNDAY,8:30 am,9:15 am,UPBEAT BARRE™,S,GIL,,5/4,30,5/11,22,5/18,25,5/25,30,,
SUNDAY,9:15 am,10:15 am,POWER YOGA,MB,EVA,,5/4,28,5/11,28,5/18,24,5/25,25,,
SUNDAY,9:30 am,10:30 am,BODYPUMP™,S,JENN W,ROBERT,5/4,36,5/11,26,5/18,35,5/25,38,,
SUNDAY,10:30 am,11:30 am,ACTIVE YOGA,MB,EVA,,5/4,36,5/11,36,5/18,34,5/25,38,,
