Day,Start Time,End Time,Class Name,Location,Instructor 1,Instructor 2,Date 1,Attendance 1,Date 2,Attendance 2,Date 3,Attendance 3,Date 4,Attendance 4,Date 5,Attendance 5
SATURDAY,7:15 am,7:45 am,GRIT - CARDIO™,SPC,MIKEY,,6/7,10,6/14,10,6/21,11,6/28,11,,
SATURDAY,8:00 am,9:00 am,BODYPUMP™,S,JENN W,,6/7,25,6/14,26,6/21,35,6/28,30,,
SATURDAY,8:45 am,9:45 am,BODYBALANCE™,MB,BRENDA,,6/7,35,6/14,30,6/21,28,6/28,28,,
SATURDAY,9:15 am,10:00 am,STEP-CARDIO,S,FRIEDA,,6/7,17,6/14,16,6/21,11,6/28,15,,
SATURDAY,9:00 am,10:00 am,GROUP CYCLE,C,MEGHAN,,6/7,15,6/14,19,6/21,24,6/28,8,,
SATURDAY,10:00 am,11:00 am,BODYCOMBAT™,MB,DANIELLE,,6/7,40,6/14,24,6/21,45,6/28,21,,
SATURDAY,10:15 am,11:15 am,ZUMBA®,S,NANETTE,,6/7,15,6/14,15,6/21,25,6/28,20,,
SATURDAY,11:15 am,12:15 pm,ACTIVE YOGA,MB,JULIE,,6/7,14,6/14,16,6/21,15,6/28,16,,
SATURDAY,11:30 am,12:30 pm,TAI CHI,S,BINH,,6/7,9,6/14,9,6/21,9,6/28,10,,
SUNDAY,8:15 am,9:15 am,GROUP CYCLE,C,ERIN,,6/1,32,6/8,34,6/15,23,6/22,15,6/29,25
SUNDAY,8:30 am,9:15 am,UPBEAT BARRE™,S,GIL,,6/1,35,6/8,25,6/15,19,6/22,20,6/29,20
SUNDAY,9:15 am,10:15 am,POWER YOGA,MB,EVA,,6/1,21,6/8,19,6/15,17,6/22,30,6/29,25
SUNDAY,9:30 am,10:30 am,BODYPUMP™,S,JENN W,ROBERT,6/1,36,6/8,42,6/15,24,6/22,43,6/29,28
SUNDAY,10:30 am,11:30 am,ACTIVE YOGA,MB,EVA,,6/1,46,6/8,41,6/15,29,6/22,43,6/29,33
SUNDAY,10:30 am,11:15 am,LES MILLS RPM™,C,ROBERT,JAYME,6/1,15,6/8,10,6/15,12,6/22,11,6/29,9
SUNDAY,10:45 am,11:15 am,LES MILLS CORE™,S,JENN W,,6/1,8,6/8,10,6/15,9,6/22,10,6/29,3
SUNDAY,11:30 am,12:30 pm,ZUMBA®,S,MARI,SHELLEY,6/1,34,6/8,24,6/15,20,6/22,25,6/29,25
SUNDAY,11:45 am,12:45 pm,BODYCOMBAT™,MB,VANESSA,KRISTA,6/1,4,6/8,5,6/15,3,6/22,17,6/29,6
MONDAY,5:15 am,6:00 am,BODYCOMBAT™,S,KATHY F,,6/2,7,6/9,7,6/16,10,6/23,10,6/30,7
MONDAY,5:30 am,6:00 am,GRIT - STRENGTH™,SPC,DANIELLE B,,6/2,25,6/9,25,6/16,25,6/23,20,6/30,14
MONDAY,7:15 am,7:45 am,GRIT - STRENGTH™,SPC,MELANIE,,6/2,9,6/9,10,6/16,7,6/23,10,6/30,7
MONDAY,8:00 am,8:45 am,UPBEAT PILATES™,MB,GIL,,6/2,8,6/9,8,6/16,11,6/23,10,6/30,9
MONDAY,8:15 am,9:00 am,TOTAL BODY STRONG,S,CAROL,,6/2,40,6/9,37,6/16,44,6/23,40,6/30,36
MONDAY,9:00 am,10:00 am,ACTIVE YOGA,MB,SUSAN,,6/2,20,6/9,41,6/16,32,6/23,39,6/30,14
MONDAY,9:15 am,10:00 am,CARDIO DANCE,S,CAROL,,6/2,45,6/9,45,6/16,54,6/23,50,6/30,52
MONDAY,9:15 am,10:15 am,GROUP CYCLE,C,LISA BA,,6/2,60,6/9,55,6/16,42,6/23,45,6/30,53
